Korean,English
살아가다,live
펴다,Spread
겨울,winter
종교,religion
층,floor
자연스럽다,It's natural
돌다,turn
식사,meal
안다,embrace
잊다,forget
제시하다,present
반,half
불과하다,It's just a little bit
혹은,or
엄청나다,It's huge
텔레비전,television
파악하다,grasp
실천,implement
노력하다,try hard
보호,protect
씻다,wash
한편,Meanwhile
이웃,neighbor
편지,letter
공동,cavity
까닭,reason
방안,measures
센티미터,centimeter
분명하다,clear
분석,analyze
소녀,girl
지나가다,pass by
상품,goods
설명,explanation
훌륭하다,excellent
관계자,official
새로,new
이어지다,continue
티브이,TV
봄,spring
종류,type
낮다,low
어깨,shoulder
지적하다,point out
부부,married couple
오래,long time
요구,request
키우다,grow
눕다,lie reclined
발달하다,develop
발전하다,develop
여행,travel
죽음,death
고통,pain
등장하다,appear
공,ball
듯이,as if
어울리다,comport
오월,May
알리다,inform
멀리,far
빼다,remove
예정,expected
오빠,brother
즐겁다,be pleasant
한계,margin
흔히,Often
바탕,background
사월,April
싸우다,fight
언제,when
예쁘다,pretty
갈등,conflict
느껴지다,feel
의지,will
전문,specialty
정확하다,accurate
초기,beginning
나중,later
맛있다,it's good
며칠,few days
신경,nerve
찾아오다,come to
미,mi
사용,use
시선,Sight
아무런,nothing
언론,press
투자,invest
지원,support
결정하다,decide
경영,management
목표,target
성장,growth
숲,forest
없어지다,disappear
작년,last year
내려가다,go down
떠오르다,fly
새벽,dawn
쓰레기,trash
얼른,quickly
피해,damage
무섭다,scary
직장,rectal
참다,suppress
크기,size
고기,meat
남기다,leave
서양,Western
주요,main
가져오다,Bring
냄새,smell
부드럽다,soft
여기다,think
공연,show
남녀,men and women
내놓다,put out
떼다,cut
만들어지다,Made
속도,speed
심각하다,serious
준비,preparation
계속되다,continue
구월,September
맑다,clear
소년,boy
소식,News
유월,June
작용,action
허리,waist
골,goal
공업,industry
그중,Among them
노인,old man
벌다,earn
살리다,save
영어,english
출신,native
결정,decision
경향,tendency
기록,record
나름,depending on
대답하다,Answer
반면,the other side
썰다,chaff
움직임,movement
이미지,image
터지다,break
특성,characteristic
교장,headmaster
벗다,take off
업무,work
입시,entrance exam
준비하다,prepare
청소년,Teenager
돕다,help
응,huh
이기다,win
찾아보다,To look for
다루다,deal with
달,moon
사장,CEO
삼월,March
그렇지만,but
선배,senior
업체,company
키,key
국회,Congress
그러므로,therefore
포함하다,include
걱정,worry
결혼하다,Get married
만약,if
세월,time
숨,breath
깨닫다,awake to
누나,sister
왕,king
점점,increasingly
질문,question
특별,exception
판단,judgment
해결하다,solve
계속하다,Continue
그치다,stop
근처,around
너무나,so much
높이다,heighten
부정,negative
사정,circumstances
도대체,why
부모님,parents
수출,export
그,that
자르다,chop
데리다,be accompanied
마리,number of animals
무척,very
비용,expense
비행기,airplane
옳다,right
원래,usually
처리,process
최초,the first
꼴,form
놀이,play
뜨겁다,hot
뿌리,root
그리하여,therefore
낮,afternoon
일찍,early
직원,employee
찍다,hew
가볍다,light
내부,interior
다소,some
상대,opponent
오전,morning
피부,skin
가게,store
가득,full
그저,just
벽,wall
장군,General
무역,Trade
부담,Burden
약속,promise
줄,line
쳐다보다,look at
충분히,enough
신체,body
에너지,energy
위원,commissioner
정리하다,organize
집안,house management
배경,background
죽이다,kill
단순하다,simple
반대,the opposite
법칙,Rule
빠지다,fall
소금,salt
오염,pollution
자전거,bicycle
참여하다,participate
탓,fault
푸르다,blue
그래,okay
목,neck
발표,presentation
범죄,crime
흔들다,shake
기초,basic
논리,logic
드라마,drama
뽑다,pull out
피우다,smoke
감각,sense
미리,beforehand
부족하다,lack
저희,we
진행되다,progress
교통,traffic
법,law
오랜,long-time
젊은이,young people
후보,candidate
과제,assignment
근거,reason
기록하다,record
다가오다,come near
불다,blow
이끌다,conduce
종합,synthesis
한글,korean
가을,autumn
개발하다,develop
떨다,shiver
손가락,finger
수단,method
자유롭다,free
적극적,active
판매,sale
형성,forming
기울이다,tilt
길이,length
